	Lifestyle	Taxa
C_sp_357	Surface_assoc	Roseobacter
C_sp_SE45	Surface_assoc	Roseobacter
D_shibae_DFL-12	Surface_assoc	Roseobacter
J_sp_CCS1	NA	Roseobacter
L_sp_SE62	NA	Roseobacter
L_vestfoldensis_SKA53	Surface_assoc	Roseobacter
M_alkaliphilus_HTCC2654	NA	Roseobacter
N_italica_R11	Surface_assoc	Roseobacter
O_antarcticus_307	Surface_assoc	Roseobacter
O_arcticus_238	Surface_assoc	Roseobacter
O_batsensis_HTCC2597	NA	Roseobacter
O_granulosus_HTCC2516	NA	Roseobacter
O_indolifex_HEL-45	NA	Roseobacter
O_sp_S124	NA	Roseobacter
P_bermudensis_HTCC2601	NA	Roseobacter
P_gallaeciensis_210	Surface_assoc	Roseobacter
P_gallaeciensis_DSM_17395	Surface_assoc	Roseobacter
R_bacterium_KLH11	Surface_assoc	Roseobacter
R_denitrificans_OCh_114	Surface_assoc	Roseobacter
R_lacuscaerulensis_ITI-1157	Surface_assoc	Roseobacter
R_litoralis_Och_149	Surface_assoc	Roseobacter
R_nubinhibens_ISM	Freeliving	Roseobacter
R_pomeroyi_DSS-3	Surface_assoc	Roseobacter
R_sp_217	NA	Roseobacter
R_sp_AzwK-3b	NA	Roseobacter
R_sp_CCS2	NA	Roseobacter
R_sp_GAI101	NA	Roseobacter
R_sp_HTCC2083	NA	Roseobacter
R_sp_HTCC2150	NA	Roseobacter
R_sp_HTCC2255	NA	Roseobacter
R_sp_MED193	NA	Roseobacter
R_sp_R2A57	NA	Roseobacter
R_sp_SK209-2-6	NA	Roseobacter
R_sp_TM1035	Surface_assoc	Roseobacter
R_sp_TM1040	Surface_assoc	Roseobacter
R_sp_TrichCH4B	Surface_assoc	Roseobacter
R_sp_TW15	Surface_assoc	Roseobacter
R_sp_Y4I	Surface_assoc	Roseobacter
S_sp_EE-36	Surface_assoc	Roseobacter
S_sp_NAS-14.1	Surface_assoc	Roseobacter
S_stellata_E-37	Surface_assoc	Roseobacter
SAR11_AAA240-E13	Freeliving	SAR11
SAR11_HIMB058	Freeliving	SAR11
SAR11_HIMB083	Freeliving	SAR11
SAR11_HIMB114	Freeliving	SAR11
SAR11_HIMB122	Freeliving	SAR11
SAR11_HIMB1321	Freeliving	SAR11
SAR11_HIMB140	Freeliving	SAR11
SAR11_HIMB4	Freeliving	SAR11
SAR11_HIMB5	Freeliving	SAR11
SAR11_HIMB59	Freeliving	SAR11
SAR11_HTCC1002	Freeliving	SAR11
SAR11_HTCC1013	Freeliving	SAR11
SAR11_HTCC1016	Freeliving	SAR11
SAR11_HTCC1040	Freeliving	SAR11
SAR11_HTCC1062	Freeliving	SAR11
SAR11_HTCC7211	Freeliving	SAR11
SAR11_HTCC7214	Freeliving	SAR11
SAR11_HTCC7217	Freeliving	SAR11
SAR11_HTCC8051	Freeliving	SAR11
SAR11_HTCC9022	Freeliving	SAR11
SAR11_HTCC9565	Freeliving	SAR11
SAR11_IMCC9063	Freeliving	SAR11
T_sp_R2A62	NA	Roseobacter
